type=ITEM name=bronze_1 x=707 y=296 width=84 height=84
type=ITEM name=bronze_2 x=826 y=206 width=66 height=84
type=ITEM name=bronze_3 x=899 y=116 width=50 height=84
type=ITEM name=bronze_4 x=670 y=406 width=14 height=84
type=ITEM name=bubble x=0 y=1662 width=211 height=215
type=PLAYER name=bunny1_hurt x=382 y=946 width=150 height=174
type=PLAYER name=bunny1_jump x=382 y=763 width=150 height=181
type=PLAYER name=bunny1_ready x=614 y=1063 width=120 height=191
type=PLAYER name=bunny1_stand x=690 y=406 width=120 height=201
type=PLAYER name=bunny1_walk1 x=678 y=860 width=120 height=201
type=PLAYER name=bunny1_walk2 x=692 y=1458 width=120 height=207
type=PLAYER name=bunny2_hurt x=411 y=1866 width=150 height=174
type=PLAYER name=bunny2_jump x=416 y=1660 width=150 height=181
type=PLAYER name=bunny2_ready x=581 y=1265 width=121 height=191
type=PLAYER name=bunny2_stand x=584 y=0 width=121 height=201
type=PLAYER name=bunny2_walk1 x=584 y=203 width=121 height=201
type=PLAYER name=bunny2_walk2 x=678 y=651 width=121 height=207
type=ENVIRONMENT name=cactus x=707 y=134 width=117 height=160
type=ITEM name=carrot x=820 y=1733 width=78 height=70
type=ITEM name=carrot_gold x=814 y=1661 width=78 height=70
type=HUD name=carrots x=812 y=554 width=54 height=49
type=ENEMY name=cloud x=0 y=1152 width=260 height=134
type=HUD name=coin_bronze x=329 y=1390 width=60 height=61
type=HUD name=coin_gold x=244 y=1981 width=61 height=61
type=HUD name=coin_silver x=307 y=1981 width=61 height=61
type=PARTICLE name=flame x=900 y=1733 width=41 height=80
type=ENEMY name=flyMan_fly x=566 y=510 width=122 height=139
type=ENEMY name=flyMan_jump x=568 y=1534 width=122 height=135
type=ENEMY name=flyMan_stand x=568 y=1671 width=122 height=139
type=ENEMY name=flyMan_still_fly x=692 y=1667 width=120 height=132
type=ENEMY name=flyMan_still_jump x=698 y=1801 width=120 height=128
type=ENEMY name=flyMan_still_stand x=707 y=0 width=120 height=132
type=ITEM name=gold_1 x=698 y=1931 width=84 height=84
type=ITEM name=gold_2 x=829 y=0 width=66 height=84
type=ITEM name=gold_3 x=897 y=1574 width=50 height=84
type=ITEM name=gold_4 x=645 y=651 width=15 height=84
type=ENVIRONMENT name=grass1 x=868 y=1877 width=58 height=57
type=ENVIRONMENT name=grass2 x=784 y=1931 width=82 height=70
type=ENVIRONMENT name=grass_brown1 x=534 y=1063 width=58 height=57
